,TOOL_ID,Tool,TOOL_ID (#1),TOOL_ID (#2),TOOL_ID (#3),Tool (#1),Tool (#2),tool,tool (#1),TOOL,TOOL (#1),Tool (#3),TOOL (#2)
0,J,B,E,D,E0,2823,C,3009,X,D,YX1,14,A
1,J,B,E,D,E0,2823,C,4147,X,D,YX1,13,A
2,O,B,E,D,E0,215,A,4147,W,D,YX1,9,A
3,O,B,E,D,E0,329,A,4106,W,D,YX1,8,A
4,O,A,E,D,E0,329,A,4106,X,B,YX1,10,A
5,M,A,E,D,E0,1110,B,4147,V,D,YX1,11,A
6,N,A,E,D,E0,215,A,4147,V,B,YX1,6,A
7,L,B,E,D,E0,530,A,4147,W,D,YX1,15,A
8,L,B,E,D,E0,1113,A,3009,V,D,YX1,15,A
9,N,B,E,D,E0,530,A,4106,X,D,YX1,11,A
10,N,B,E,D,E0,1113,A,4106,X,D,YX1,11,A
11,L,B,E,C,E0,215,A,4147,X,D,YX1,11,A
12,L,A,E,D,E0,1245,B,3009,W,D,YX1,11,A
13,N,A,E,D,E0,2823,B,4106,X,D,YX1,12,A
14,L,B,E,C,E0,329,A,3009,W,D,YX1,14,A
15,O,A,E,D,E0,1245,B,4106,Q,D,YX1,9,B
16,O,A,E,D,E0,1245,B,4147,R,D,YX1,9,B
17,O,B,E,D,E0,215,A,3009,W,D,YX1,9,A
18,O,A,E,D,E0,2823,B,3009,P,D,YX1,10,B
19,O,A,E,D,E0,1245,B,4147,R,D,YX1,10,B
20,N,B,E,D,E0,329,A,4147,X,D,YX1,8,A
21,O,A,E,D,E0,2823,B,3009,P,D,YX1,6,B
22,O,A,E,D,E0,1110,B,4106,Q,D,YX1,6,B
23,O,A,N,D,N0,2823,A,3009,V,D,YX1,10,B
24,O,A,E,D,E0,2823,B,3009,P,D,YX1,10,B
25,N,A,N,D,N0,1110,A,4106,X,D,YX1,10,B
26,O,A,E,D,E0,1110,B,4106,Q,D,YX1,6,B
27,O,A,E,D,E0,1245,B,4147,R,D,YX1,6,B
28,O,A,N,D,N0,1245,A,4147,W,D,YX1,6,B
29,L,A,N,D,N0,1113,B,4147,V,D,YX1,9,B
30,L,A,N,D,N0,530,B,3009,W,D,YX1,10,B
31,L,A,N,D,N0,1113,B,4106,V,D,YX1,10,B
32,L,A,E,D,E0,2823,A,4147,W,D,YX1,12,A
33,L,A,E,D,E0,1110,A,4106,X,D,YX1,13,A
34,N,B,E,C,E0,1245,A,4147,W,D,YX1,9,A
35,N,B,E,C,E0,1110,A,3009,X,D,YX1,6,A
36,N,A,N,D,N0,1113,B,4106,W,B,XY1,9,B
37,N,A,E,D,E0,2823,B,4106,W,B,YX1,6,A
38,N,A,N,D,N0,530,B,4147,V,B,XY1,10,B
39,N,A,N,D,N0,1113,B,3009,X,B,XY1,10,B
40,O,A,E,D,E0,1110,B,3009,V,B,YX1,6,A
41,N,A,N,D,N0,1113,B,4106,W,B,XY1,6,B
42,N,A,E,D,E0,1245,B,4147,X,B,YX1,7,A
43,N,A,N,D,N0,1245,B,4147,W,D,YX1,14,B
44,L,A,E,D,E0,206,B,4106,R,D,YX1,11,B
45,N,A,N,D,N0,1110,B,4147,W,D,YX1,12,B
46,L,A,E,D,E0,215,B,4147,R,D,YX1,11,B
47,N,A,N,D,N0,2823,B,4106,W,D,YX1,11,B
48,L,A,E,D,E0,329,B,3009,P,D,YX1,11,B
49,N,A,N,D,N0,2823,B,4106,W,D,YX1,14,B
50,L,A,E,D,E0,206,B,4106,Q,D,YX1,15,B
51,O,A,N,D,N0,1245,B,3009,V,D,YX1,11,B
52,O,A,E,D,E0,215,A,3009,W,D,YX1,15,A
53,L,A,E,D,E0,329,B,3009,Q,D,YX1,13,B
54,L,A,E,D,E0,206,B,4106,R,D,YX1,14,B
55,L,A,E,D,E0,215,B,4147,P,D,YX1,14,B
56,L,B,E,D,E0,1113,A,4147,X,B,YX1,9,B
57,M,A,E,D,E0,1110,A,3009,X,D,YX1,13,A
58,L,A,E,D,E0,2823,A,4147,W,D,YX1,14,A
59,M,A,E,D,E0,1110,A,3009,X,D,YX1,14,A
60,N,B,E,D,E0,1245,A,3009,X,B,YX1,13,A
61,O,A,E,D,E0,1245,B,4147,X,B,YX1,8,A
62,O,A,E,D,E0,1245,B,4106,W,B,YX1,6,A
63,M,B,E,D,E0,329,B,4147,X,B,YX1,8,A
64,L,B,E,D,E0,215,B,4106,W,B,YX1,6,A
65,M,B,E,C,E0,1110,B,4147,X,D,YX1,14,A
66,M,B,E,C,E0,2823,B,4147,W,D,YX1,12,A
67,O,B,E,C,E0,329,A,4147,X,D,YX1,12,A
