iter	RMSE
0	5.678645083
1	5.521968587
2	5.37013006
3	5.222751639
4	5.08129247
5	4.945028654
6	4.81332857
7	4.684698259
8	4.560615728
9	4.440061104
10	4.324550975
11	4.212100284
12	4.103358277
13	3.99830309
14	3.896232486
15	3.798434026
16	3.704084654
17	3.613203837
18	3.524009763
19	3.438528657
20	3.356711451
21	3.276619618
22	3.200455795
23	3.126832409
24	3.055998038
25	2.986824259
26	2.920434091
27	2.857209201
28	2.796505191
29	2.737669536
30	2.680952742
31	2.626427137
32	2.574426768
33	2.52415903
34	2.47590449
35	2.429511803
36	2.385121749
37	2.34231552
38	2.301575997
39	2.262577098
40	2.224585662
41	2.188493971
42	2.154078067
43	2.121477433
44	2.089724663
45	2.058391002
46	2.029352915
47	2.001818226
48	1.97476215
49	1.949035784
50	1.924064991
51	1.900150988
52	1.878054775
53	1.857354996
54	1.836253598
55	1.816784205
56	1.798131641
57	1.779874683
58	1.763065514
59	1.747113501
60	1.7311066
61	1.716799783
62	1.70338317
63	1.689351798
64	1.676471838
65	1.664528901
66	1.653192073
67	1.642416289
68	1.63248302
69	1.622049585
70	1.6129572
71	1.603706577
72	1.594848945
73	1.586036507
74	1.578652931
75	1.571015894
76	1.564164904
77	1.557293632
78	1.550578901
79	1.543726516
80	1.53785596
81	1.53233734
82	1.526943391
83	1.521029871
84	1.515914619
85	1.511354151
86	1.506523541
87	1.501592388
88	1.497024148
89	1.493381482
90	1.489596696
91	1.485790364
92	1.481572564
93	1.478237
94	1.474812384
95	1.471077124
96	1.468140373
97	1.465185257
98	1.462435808
99	1.46028444
100	1.457143188
101	1.454327816
102	1.452427264
103	1.449919703
104	1.447509583
105	1.445037432
106	1.443373097
107	1.439807611
108	1.437537992
109	1.435712015
110	1.433301961
111	1.431395969
112	1.429324769
113	1.428289614
114	1.426550733
115	1.425100012
116	1.422541935
117	1.420413114
118	1.418667799
119	1.417438277
120	1.416083223
121	1.414314622
122	1.411819882
123	1.40908179
124	1.407611101
125	1.406399455
126	1.403390512
127	1.401558074
128	1.400046532
129	1.397864059
130	1.396825097
131	1.395387182
132	1.39421428
133	1.393021273
134	1.391730819
135	1.390180018
136	1.389510443
137	1.388112786
138	1.386658174
139	1.384372899
140	1.382849844
141	1.381596001
142	1.379613207
143	1.378326413
144	1.377133685
145	1.374720404
146	1.372982487
147	1.370624386
148	1.369792962
149	1.368050476
150	1.366297092
151	1.365467401
152	1.364116059
153	1.363369446
154	1.361299964
155	1.360567448
156	1.359192135
157	1.35770773
158	1.35650378
159	1.354844076
160	1.352234117
161	1.351395811
162	1.350547928
163	1.34969786
164	1.348204457
165	1.346771875
166	1.344175166
167	1.342985473
168	1.342001563
169	1.340906831
170	1.339692695
171	1.338360042
172	1.336483925
173	1.334518789
174	1.333655002
175	1.332484238
176	1.330817738
177	1.330011296
178	1.329012483
179	1.327052197
180	1.326079288
181	1.325262552
182	1.32411129
183	1.322797459
184	1.321729406
185	1.320028399
186	1.31911668
187	1.318490135
188	1.317235889
189	1.316407919
190	1.315605222
191	1.314906374
192	1.313443458
193	1.312628484
194	1.31125954
195	1.310768257
196	1.309243451
197	1.307261502
198	1.305957067
199	1.304739082
200	1.303985876
201	1.302735367
202	1.301853086
203	1.301139194
204	1.299549824
205	1.29838317
206	1.296152919
207	1.295439479
208	1.294634696
209	1.294007298
210	1.293154085
211	1.292498779
212	1.291842355
213	1.291060931
214	1.28971159
215	1.288611655
216	1.28816042
217	1.2869246
218	1.285869194
219	1.285351404
220	1.284531245
221	1.283980288
222	1.28325791
223	1.282725869
224	1.281578136
225	1.280291532
226	1.279496091
227	1.278185821
228	1.277280871
229	1.276309018
230	1.275631971
231	1.273684385
232	1.272879902
233	1.271191543
234	1.270856459
235	1.270467445
236	1.269481139
237	1.268532665
238	1.267916697
239	1.26628523
240	1.265307171
241	1.264937191
242	1.264247258
243	1.263701247
244	1.262672729
245	1.261692864
246	1.260361969
247	1.2593497
248	1.25865552
249	1.257651216
250	1.256739373
251	1.25627437
252	1.255816255
253	1.254853113
254	1.254252872
255	1.253836213
256	1.252742103
257	1.252054942
258	1.251503665
259	1.250054483
260	1.249287746
261	1.248112381
262	1.247128467
263	1.246355268
264	1.245016898
265	1.244348387
266	1.243478408
267	1.24289468
268	1.242486917
269	1.241372186
270	1.241360319
271	1.241092374
272	1.240360581
273	1.239289982
274	1.237906929
275	1.237451934
276	1.236623447
277	1.235923135
278	1.235336804
279	1.234196755
280	1.232728808
281	1.232127038
282	1.231663916
283	1.231257046
284	1.229925974
285	1.229144236
286	1.228473911
287	1.227700787
288	1.227053188
289	1.225701861
290	1.224692134
291	1.22407489
292	1.223340587
293	1.222522217
294	1.222008635
295	1.221558331
296	1.220952242
297	1.219668783
298	1.21903607
299	1.218168926
300	1.217438825
301	1.216718906
302	1.21618182
303	1.215464793
304	1.214900912
305	1.214596004
306	1.213326727
307	1.212667338
308	1.212356835
309	1.211974782
310	1.21150703
311	1.210958298
312	1.210489442
313	1.210143041
314	1.209488598
315	1.209072505
316	1.208167032
317	1.206868883
318	1.206243124
319	1.204985018
320	1.204288932
321	1.203772729
322	1.203500961
323	1.202778622
324	1.201754551
325	1.201048624
326	1.200448837
327	1.200234666
328	1.199291139
329	1.198209597
330	1.197245922
331	1.196665122
332	1.195670845
333	1.195114432
334	1.194371244
335	1.193637379
336	1.192891306
337	1.192610436
338	1.190846199
339	1.189870018
340	1.189125166
341	1.188514021
342	1.187785669
343	1.18719827
344	1.186798893
345	1.185871936
346	1.185334367
347	1.184846476
348	1.184401788
349	1.184047138
350	1.182990176
351	1.182396202
352	1.181590043
353	1.180775108
354	1.180292611
355	1.179677604
356	1.17914237
357	1.178644177
358	1.178313977
359	1.177588181
360	1.177059038
361	1.176636297
362	1.176220293
363	1.175445088
364	1.17455632
365	1.174034639
366	1.173570262
367	1.17302562
368	1.172282324
369	1.171666827
370	1.17066545
371	1.17026745
372	1.169779719
373	1.168856727
374	1.168267281
375	1.16782411
376	1.167271927
377	1.166731602
378	1.166378339
379	1.166082269
380	1.165336612
381	1.164654245
382	1.164169225
383	1.163860401
384	1.163669515
385	1.163139005
386	1.16233552
387	1.161863813
388	1.161086113
389	1.160419573
390	1.160004666
391	1.159357825
392	1.159081149
393	1.158228917
394	1.158018911
395	1.157422009
396	1.156999553
397	1.156610704
398	1.155895276
399	1.15541114
400	1.155194652
401	1.154139776
402	1.153823512
403	1.152912973
404	1.152632574
405	1.151783526
406	1.151132539
407	1.150527109
408	1.149422593
409	1.149074384
410	1.147962086
411	1.147504183
412	1.146622838
413	1.145699039
414	1.145082767
415	1.144372664
416	1.143332171
417	1.14305425
418	1.142256759
419	1.141826627
420	1.141436884
421	1.140374462
422	1.139948585
423	1.139380609
424	1.138686066
425	1.137560541
426	1.136645141
427	1.136322329
428	1.135714573
429	1.135520247
430	1.134321421
431	1.133834885
432	1.133224794
433	1.132948699
434	1.13204279
435	1.131283499
436	1.130860158
437	1.130099582
438	1.129446974
439	1.129091568
440	1.128568629
441	1.127962247
442	1.127635398
443	1.127218596
444	1.126698581
445	1.125469057
446	1.125184551
447	1.12488863
448	1.124683037
449	1.124209503
450	1.123660304
451	1.123103032
452	1.122566781
453	1.12235068
454	1.121829861
455	1.12134707
456	1.120460912
457	1.119930463
458	1.119648816
459	1.118968257
460	1.118583651
461	1.118143877
462	1.11750632
463	1.11673545
464	1.116578672
465	1.116271792
466	1.115975479
467	1.11549581
468	1.114576188
469	1.114264876
470	1.113246257
471	1.112705693
472	1.112523602
473	1.111973461
474	1.111625507
475	1.111312385
476	1.111083388
477	1.110789272
478	1.110589897
479	1.110168299
480	1.109615557
481	1.109180753
482	1.108677023
483	1.108313014
484	1.107933461
485	1.107643947
486	1.106477725
487	1.106124787
488	1.105917016
489	1.105473916
490	1.104904215
491	1.103937453
492	1.10349499
493	1.102910909
494	1.102245136
495	1.102037367
496	1.101530462
497	1.101136192
498	1.10031007
499	1.099856509
500	1.099503289
501	1.098931962
502	1.098516408
503	1.098215159
504	1.097978146
505	1.097689769
506	1.097095567
507	1.096644672
508	1.096053911
509	1.095520006
510	1.095193599
511	1.094835444
512	1.094278743
513	1.093395394
514	1.09192017
515	1.091362127
516	1.091129857
517	1.090385129
518	1.090004254
519	1.089819385
520	1.089477795
521	1.089028974
522	1.088888173
523	1.08860844
524	1.087799831
525	1.087673803
526	1.087186323
527	1.086631668
528	1.086432007
529	1.086198897
530	1.085989662
531	1.085692764
532	1.085511411
533	1.084919604
534	1.084545178
535	1.084020843
536	1.083720821
537	1.083217287
538	1.08287655
539	1.082351653
540	1.081692684
541	1.081425425
542	1.081199754
543	1.080873141
544	1.080523745
545	1.080012605
546	1.079564187
547	1.079439659
548	1.0787325
549	1.077701614
550	1.0773099
551	1.077084576
552	1.076857031
553	1.076379192
554	1.076184284
555	1.075685461
556	1.075376859
557	1.074883757
558	1.074768954
559	1.074444368
560	1.074135755
561	1.073910568
562	1.073157122
563	1.07255918
564	1.072433848
565	1.071335709
566	1.071199729
567	1.070817454
568	1.070376051
569	1.070142042
570	1.069570451
571	1.069305816
572	1.06905391
573	1.068611327
574	1.068448851
575	1.068138141
576	1.067891066
577	1.067691144
578	1.067206118
579	1.066504887
580	1.065888233
581	1.0653731
582	1.065009757
583	1.064667945
584	1.06401945
585	1.063854015
586	1.063342927
587	1.063005287
588	1.062739251
589	1.062591057
590	1.062366761
591	1.062159284
592	1.061643858
593	1.061098772
594	1.060919993
595	1.060307146
596	1.0596444
597	1.059208635
598	1.058861917
599	1.058376285
600	1.058059547
601	1.057710291
602	1.057605282
603	1.057208716
604	1.056757816
605	1.056571606
606	1.05651142
607	1.055870727
608	1.055484347
609	1.054895858
610	1.054726044
611	1.05432391
612	1.054167778
613	1.053819122
614	1.053275864
615	1.052893243
616	1.052539776
617	1.052115463
618	1.051709141
619	1.051603768
620	1.05115449
621	1.05094314
622	1.050736895
623	1.050193511
624	1.050010077
625	1.04947183
626	1.049047738
627	1.048522457
628	1.048094838
629	1.047666291
630	1.047532
631	1.047231625
632	1.046740654
633	1.046219369
634	1.045842979
635	1.045552377
636	1.045456206
637	1.045068998
638	1.04466356
639	1.044434029
640	1.044114919
641	1.043619731
642	1.043151214
643	1.042875603
644	1.042836284
645	1.042520914
646	1.04210048
647	1.041870164
648	1.041493606
649	1.041374604
650	1.041072629
651	1.040852261
652	1.040553258
653	1.040356818
654	1.040023669
655	1.039332514
656	1.038970961
657	1.038464742
658	1.03802555
659	1.037948892
660	1.037237319
661	1.037086959
662	1.036736088
663	1.036426204
664	1.036089039
665	1.035955265
666	1.035572783
667	1.034957176
668	1.034446893
669	1.034266379
670	1.034079074
671	1.033342056
672	1.033192065
673	1.033030754
674	1.032943201
675	1.032597945
676	1.032440866
677	1.03218228
678	1.031927922
679	1.031316188
680	1.03093167
681	1.030671945
682	1.030313527
683	1.030190574
684	1.02982147
685	1.029351764
686	1.028851286
687	1.028718988
688	1.028313312
689	1.027568061
690	1.027294085
691	1.027005347
692	1.026673637
693	1.026181353
694	1.02582117
695	1.025663787
696	1.025594176
697	1.025441271
698	1.025085924
699	1.024768732
700	1.024400636
701	1.02417662
702	1.023888731
703	1.023621041
704	1.023381894
705	1.023034795
706	1.022132591
707	1.021998
708	1.021697371
709	1.021495959
710	1.021384746
711	1.021021372
712	1.020979089
713	1.020581666
714	1.020494806
715	1.020190173
716	1.01986044
717	1.019650192
718	1.01917351
719	1.018818902
720	1.018640217
721	1.018231329
722	1.01804931
723	1.018023809
724	1.017535365
725	1.017222216
726	1.016990122
727	1.016748505
728	1.016257669
729	1.01587254
730	1.015693232
731	1.015542755
732	1.015028514
733	1.014848044
734	1.014643178
735	1.014198301
736	1.013951231
737	1.013659023
738	1.013001411
739	1.012752529
740	1.012487477
741	1.011922913
742	1.01146998
743	1.011199034
744	1.010669888
745	1.010204915
746	1.010060165
747	1.009478321
748	1.009033527
749	1.008872882
750	1.00857958
751	1.00838404
752	1.007996287
753	1.007699228
754	1.007028161
755	1.006649453
756	1.006474909
757	1.006105255
758	1.005708128
759	1.005426725
760	1.005083326
761	1.004888578
762	1.00433679
763	1.003956486
764	1.003871112
765	1.00376693
766	1.003514589
767	1.003067222
768	1.002933271
769	1.002720277
770	1.002288078
771	1.002031824
772	1.001796721
773	1.000960237
774	1.000843039
775	1.000444406
776	1.000405488
777	1.000265909
778	0.9998650341
779	0.9995663699
780	0.9992574497
781	0.9990169368
782	0.9987921125
783	0.9985967265
784	0.9984016423
785	0.9979176034
786	0.997689596
787	0.9976812189
788	0.9976468628
789	0.9974444177
790	0.9973312182
791	0.9972216949
792	0.9968877944
793	0.996447187
794	0.9962647913
795	0.9961343046
796	0.995687954
797	0.9952383896
798	0.9951859505
799	0.9951693167
800	0.9949334019
801	0.9946013779
802	0.9943929994
803	0.9938870993
804	0.9937927077
805	0.9936132576
806	0.9934935406
807	0.9932946615
808	0.9931188322
809	0.9929613645
810	0.9922987243
811	0.992091504
812	0.9917795596
813	0.9915449293
814	0.9908368911
815	0.9900802037
816	0.9895239191
817	0.9890857505
818	0.9888395167
819	0.9884154914
820	0.9883168229
821	0.9880719564
822	0.9876719371
823	0.9874629591
824	0.9871325781
825	0.9869861392
826	0.9869215015
827	0.9866900985
828	0.9865908639
829	0.9864867959
830	0.986294741
831	0.9862215595
832	0.9858450882
833	0.9853170369
834	0.98526065
835	0.9847488064
836	0.9844752115
837	0.9842483136
838	0.9840877667
839	0.983828913
840	0.9837536869
841	0.9834712116
842	0.9831464744
843	0.9830700072
844	0.982882464
845	0.9824335885
846	0.9821141115
847	0.9807602527
848	0.9803160437
849	0.9797851479
850	0.979222196
851	0.9790725739
852	0.9788913931
853	0.9787203817
854	0.9786159622
855	0.9780325752
856	0.9779752518
857	0.9778758711
858	0.9773371092
859	0.9769611954
860	0.9769039106
861	0.976499732
862	0.9763240566
863	0.9760964276
864	0.975955466
865	0.9755683064
866	0.9755287177
867	0.9747748116
868	0.9743667414
869	0.9740188205
870	0.9736470515
871	0.9734693226
872	0.9731870619
873	0.9728793757
874	0.9725413674
875	0.9723622667
876	0.9722279442
877	0.9717175474
878	0.9715985017
879	0.9713932726
880	0.9712347617
881	0.9710541435
882	0.9704566619
883	0.9704340503
884	0.9701872962
885	0.9699773805
886	0.9697563649
887	0.9691718952
888	0.9688412647
889	0.9685809466
890	0.9684591064
891	0.968151083
892	0.9680671913
893	0.9679779989
894	0.9676070918
895	0.9675690936
896	0.9674426665
897	0.9673403233
898	0.9670702453
899	0.9669745075
900	0.9667881611
901	0.9665565099
902	0.9664866442
903	0.9659739603
904	0.9657854005
905	0.9653938013
906	0.9651314565
907	0.9645244613
908	0.9642312419
909	0.9640852913
910	0.9638433343
911	0.9635901145
912	0.9633728184
913	0.9630894304
914	0.9629632676
915	0.9628554134
916	0.962461497
917	0.9619865205
918	0.961793741
919	0.9614332358
920	0.9612704304
921	0.9611441677
922	0.9607963952
923	0.9604573397
924	0.9604215391
925	0.9602719706
926	0.95998101
927	0.9594421526
928	0.9592349729
929	0.9589934541
930	0.9586621962
931	0.9585013005
932	0.9577437148
933	0.9576167291
934	0.957374517
935	0.9567263711
936	0.9565798558
937	0.9561351389
938	0.9558281913
939	0.9552497374
940	0.9550084144
941	0.9546420502
942	0.9539749355
943	0.9536911362
944	0.9533976469
945	0.9527437603
946	0.9525746511
947	0.9518629157
948	0.9514780796
949	0.9514680773
950	0.9514535589
951	0.9512325206
952	0.9507164182
953	0.9506559106
954	0.9504940866
955	0.949998282
956	0.9492407365
957	0.9491233236
958	0.948997759
959	0.9487623258
960	0.9486899884
961	0.9484884178
962	0.9484281011
963	0.9482754776
964	0.9482481502
965	0.9479856288
966	0.9478799047
967	0.9475129578
968	0.9474644828
969	0.9473283993
970	0.9471877845
971	0.9470262868
972	0.9469071886
973	0.94650775
974	0.9463420515
975	0.9462066447
976	0.9460712759
977	0.9458943855
978	0.9455983669
979	0.9452816947
980	0.9451863455
981	0.9451322083
982	0.9449757373
983	0.9447843022
984	0.9445540447
985	0.9443346641
986	0.9442676952
987	0.9439966197
988	0.9436199919
989	0.9434921158
990	0.9433259161
991	0.9429550267
992	0.9425205991
993	0.9423839124
994	0.9422384108
995	0.9420372638
996	0.9416927679
997	0.9414361702
998	0.9413272365
999	0.9412303086
