iter	Passed	Remaining
0	58	58787
1	108	54251
2	157	52365
3	183	45608
4	231	46058
5	280	46395
6	328	46543
7	368	45669
8	417	46018
9	467	46312
10	514	46222
11	563	46397
12	611	46457
13	661	46610
14	679	44652
15	733	45098
16	788	45588
17	843	46016
18	878	45367
19	932	45688
20	977	45586
21	1025	45573
22	1074	45657
23	1121	45597
24	1169	45625
25	1218	45644
26	1234	44494
27	1282	44525
28	1330	44542
29	1378	44570
30	1385	43304
31	1436	43462
32	1483	43457
33	1496	42524
34	1548	42686
35	1598	42792
36	1627	42348
37	1684	42635
38	1738	42835
39	1793	43035
40	1846	43187
41	1860	42437
42	1908	42482
43	1957	42532
44	2005	42565
45	2056	42655
46	2101	42606
47	2149	42625
48	2203	42770
49	2257	42900
50	2293	42669
51	2344	42744
52	2393	42770
53	2440	42761
54	2485	42713
55	2533	42702
56	2555	42285
57	2609	42375
58	2664	42491
59	2717	42578
60	2774	42705
61	2819	42661
62	2865	42622
63	2911	42586
64	2960	42584
65	3017	42707
66	3072	42789
67	3129	42889
68	3183	42956
69	3243	43086
70	3288	43023
71	3335	42992
72	3382	42948
73	3430	42928
74	3478	42895
75	3527	42886
76	3541	42446
77	3588	42420
78	3636	42391
79	3683	42364
80	3733	42356
81	3781	42331
82	3827	42288
83	3873	42237
84	3924	42243
85	3979	42294
86	4041	42409
87	4093	42421
88	4148	42468
89	4201	42486
90	4251	42464
91	4298	42421
92	4346	42390
93	4397	42381
94	4446	42355
95	4494	42319
96	4542	42288
97	4593	42278
98	4639	42227
99	4670	42037
100	4720	42019
101	4767	41968
102	4815	41933
103	4862	41894
104	4909	41851
105	4957	41812
106	5007	41788
107	5057	41773
108	5109	41764
109	5158	41740
110	5210	41729
111	5255	41668
112	5305	41641
113	5328	41410
114	5378	41387
115	5418	41292
116	5469	41279
117	5519	41259
118	5570	41237
119	5621	41225
120	5670	41190
121	5719	41163
122	5771	41147
123	5825	41151
124	5874	41123
125	5904	40957
126	5952	40915
127	5999	40873
128	6047	40833
129	6096	40796
130	6137	40713
131	6187	40684
132	6236	40651
133	6287	40635
134	6334	40586
135	6381	40538
136	6428	40494
137	6486	40519
138	6543	40530
139	6596	40518
140	6649	40510
141	6700	40488
142	6749	40448
143	6798	40412
144	6847	40373
145	6901	40367
146	6961	40395
147	7017	40397
148	7071	40390
149	7123	40366
150	7171	40320
151	7219	40274
152	7271	40253
153	7323	40230
154	7379	40230
155	7435	40225
156	7493	40235
157	7542	40195
158	7589	40143
159	7636	40093
160	7685	40051
161	7734	40011
162	7792	40013
163	7846	39997
164	7898	39972
165	7960	39994
166	8015	39983
167	8063	39932
168	8110	39879
169	8156	39824
170	8203	39771
171	8252	39726
172	8305	39703
173	8357	39676
174	8412	39657
175	8468	39647
176	8526	39646
177	8581	39629
178	8633	39597
179	8681	39549
180	8730	39505
181	8775	39442
182	8824	39396
183	8879	39378
184	8939	39380
185	8994	39365
186	9047	39333
187	9098	39298
188	9148	39256
189	9196	39205
190	9244	39156
191	9289	39093
192	9341	39058
193	9391	39018
194	9441	38978
195	9489	38926
196	9540	38886
197	9585	38826
198	9636	38788
199	9686	38745
200	9737	38706
201	9787	38665
202	9833	38608
203	9880	38553
204	9930	38512
205	9980	38468
206	10037	38452
207	10089	38417
208	10144	38394
209	10198	38366
210	10254	38346
211	10305	38307
212	10355	38261
213	10404	38214
214	10453	38167
215	10502	38119
216	10551	38074
217	10604	38040
218	10657	38007
219	10713	37983
220	10765	37948
221	10818	37912
222	10868	37870
223	10919	37828
224	10967	37776
225	11017	37731
226	11062	37671
227	11113	37629
228	11168	37601
229	11223	37573
230	11274	37533
231	11326	37495
232	11374	37441
233	11425	37402
234	11472	37345
235	11520	37293
236	11568	37243
237	11618	37198
238	11673	37170
239	11731	37149
240	11784	37113
241	11835	37072
242	11894	37052
243	11942	37001
244	11988	36945
245	12034	36886
246	12082	36835
247	12138	36807
248	12195	36781
249	12247	36741
250	12303	36713
251	12353	36668
252	12402	36619
253	12450	36566
254	12494	36502
255	12541	36449
256	12595	36414
257	12648	36377
258	12705	36349
259	12755	36305
260	12810	36270
261	12861	36228
262	12912	36184
263	12963	36139
264	13010	36086
265	13059	36037
266	13114	36003
267	13171	35976
268	13223	35935
269	13277	35899
270	13295	35766
271	13344	35715
272	13390	35659
273	13437	35604
274	13485	35552
275	13532	35498
276	13580	35446
277	13631	35403
278	13684	35364
279	13738	35326
280	13793	35294
281	13851	35266
282	13896	35208
283	13943	35152
284	13991	35100
285	14037	35044
286	14087	34998
287	14142	34964
288	14198	34930
289	14249	34886
290	14304	34851
291	14357	34810
292	14406	34763
293	14455	34712
294	14502	34658
295	14549	34604
296	14596	34549
297	14644	34497
298	14692	34446
299	14741	34397
300	14787	34340
301	14836	34291
302	14882	34235
303	14930	34182
304	14977	34130
305	15025	34077
306	15074	34028
307	15126	33985
308	15179	33944
309	15232	33904
310	15287	33868
311	15339	33825
312	15384	33768
313	15431	33713
314	15477	33657
315	15525	33605
316	15573	33553
317	15622	33505
318	15672	33457
319	15717	33400
320	15763	33343
321	15813	33296
322	15861	33245
323	15910	33196
324	15961	33149
325	16005	33091
326	16052	33036
327	16098	32981
328	16146	32930
329	16194	32879
330	16243	32830
331	16292	32780
332	16338	32725
333	16383	32668
334	16429	32614
335	16476	32559
336	16520	32501
337	16564	32443
338	16609	32385
339	16656	32332
340	16705	32284
341	16754	32234
342	16806	32191
343	16854	32140
344	16903	32091
345	16950	32038
346	16997	31986
347	17047	31938
348	17100	31897
349	17148	31847
350	17198	31800
351	17249	31754
352	17299	31707
353	17353	31666
354	17405	31623
355	17452	31571
356	17500	31521
357	17552	31477
358	17604	31433
359	17650	31379
360	17701	31332
361	17754	31291
362	17809	31252
363	17865	31215
364	17917	31171
365	17969	31126
366	18015	31073
367	18063	31022
368	18109	30967
369	18155	30912
370	18202	30860
371	18248	30806
372	18297	30757
373	18345	30706
374	18393	30656
375	18438	30600
376	18486	30548
377	18533	30496
378	18587	30455
379	18644	30419
380	18695	30374
381	18751	30336
382	18805	30295
383	18856	30248
384	18903	30196
385	18949	30142
386	18997	30091
387	19049	30046
388	19105	30008
389	19156	29963
390	19210	29921
391	19272	29891
392	19326	29850
393	19372	29796
394	19417	29741
395	19464	29687
396	19512	29637
397	19566	29595
398	19623	29558
399	19676	29514
400	19730	29472
401	19788	29436
402	19834	29382
403	19880	29328
404	19927	29275
405	19974	29223
406	20021	29172
407	20070	29121
408	20118	29071
409	20168	29023
410	20214	28969
411	20261	28916
412	20309	28866
413	20359	28818
414	20408	28768
415	20457	28719
416	20502	28664
417	20548	28611
418	20595	28558
419	20646	28512
420	20701	28470
421	20763	28439
422	20815	28393
423	20865	28345
424	20913	28294
425	20961	28244
426	21010	28194
427	21059	28144
428	21104	28089
429	21150	28036
430	21198	27985
431	21246	27935
432	21293	27883
433	21343	27834
434	21397	27792
435	21449	27746
436	21502	27702
437	21557	27661
438	21613	27619
439	21661	27569
440	21709	27518
441	21759	27470
442	21808	27420
443	21859	27373
444	21904	27318
445	21950	27266
446	21997	27213
447	22044	27161
448	22099	27119
449	22169	27095
450	22226	27055
451	22280	27012
452	22335	26970
453	22384	26920
454	22433	26870
455	22486	26826
456	22538	26779
457	22594	26738
458	22654	26701
459	22705	26654
460	22763	26615
461	22818	26571
462	22872	26527
463	22926	26483
464	22982	26442
465	23032	26393
466	23079	26341
467	23127	26290
468	23177	26241
469	23229	26195
470	23281	26148
471	23337	26106
472	23393	26063
473	23449	26021
474	23502	25976
475	23556	25932
476	23607	25884
477	23656	25833
478	23707	25786
479	23752	25731
480	23802	25682
481	23856	25638
482	23920	25604
483	23975	25560
484	24033	25520
485	24088	25476
486	24141	25430
487	24188	25377
488	24234	25324
489	24282	25274
490	24332	25224
491	24383	25176
492	24430	25124
493	24477	25072
494	24524	25020
495	24573	24970
496	24622	24920
497	24680	24878
498	24735	24834
499	24790	24790
500	24846	24746
501	24899	24700
502	24947	24650
503	24995	24598
504	25042	24546
505	25094	24499
506	25142	24448
507	25188	24395
508	25240	24348
509	25300	24308
510	25355	24264
511	25409	24218
512	25462	24172
513	25515	24125
514	25565	24076
515	25612	24023
516	25663	23976
517	25712	23925
518	25765	23878
519	25821	23835
520	25872	23786
521	25925	23740
522	25979	23694
523	26036	23651
524	26087	23603
525	26135	23552
526	26184	23501
527	26239	23456
528	26300	23416
529	26356	23372
530	26413	23329
531	26478	23292
532	26523	23239
533	26572	23188
534	26620	23137
535	26672	23089
536	26726	23043
537	26779	22996
538	26833	22950
539	26890	22906
540	26946	22862
541	26996	22812
542	27043	22760
543	27091	22708
544	27138	22657
545	27186	22605
546	27236	22556
547	27284	22505
548	27332	22453
549	27384	22405
550	27443	22363
551	27500	22319
552	27555	22273
553	27612	22229
554	27667	22183
555	27718	22134
556	27769	22086
557	27820	22037
558	27870	21987
559	27920	21937
560	27966	21884
561	28011	21831
562	28059	21779
563	28107	21728
564	28155	21677
565	28206	21628
566	28258	21580
567	28306	21528
568	28358	21480
569	28405	21428
570	28455	21379
571	28507	21330
572	28556	21280
573	28608	21232
574	28659	21183
575	28712	21135
576	28766	21088
577	28814	21037
578	28864	20987
579	28915	20938
580	28963	20887
581	29012	20837
582	29062	20787
583	29115	20740
584	29172	20695
585	29231	20651
586	29285	20604
587	29341	20559
588	29392	20509
589	29441	20459
590	29490	20408
591	29545	20362
592	29603	20318
593	29656	20270
594	29711	20223
595	29759	20172
596	29809	20122
597	29857	20071
598	29901	20017
599	29948	19965
600	29995	19913
601	30049	19866
602	30105	19820
603	30160	19773
604	30214	19727
605	30268	19679
606	30317	19629
607	30362	19576
608	30409	19523
609	30456	19472
610	30507	19422
611	30555	19371
612	30606	19322
613	30654	19271
614	30701	19219
615	30749	19168
616	30798	19118
617	30848	19068
618	30900	19019
619	30945	18966
620	30994	18915
621	31041	18864
622	31092	18815
623	31147	18768
624	31199	18719
625	31253	18671
626	31304	18622
627	31355	18573
628	31407	18524
629	31453	18472
630	31499	18420
631	31551	18371
632	31605	18324
633	31664	18279
634	31719	18232
635	31771	18183
636	31825	18135
637	31874	18085
638	31919	18032
639	31966	17981
640	32019	17932
641	32076	17887
642	32133	17840
643	32190	17794
644	32247	17748
645	32302	17701
646	32349	17649
647	32397	17598
648	32451	17550
649	32506	17503
650	32566	17458
651	32615	17408
652	32673	17362
653	32722	17311
654	32770	17261
655	32822	17211
656	32880	17166
657	32933	17117
658	32988	17070
659	33046	17023
660	33098	16975
661	33147	16924
662	33194	16872
663	33241	16821
664	33290	16770
665	33340	16720
666	33396	16673
667	33449	16624
668	33505	16577
669	33565	16532
670	33612	16480
671	33662	16430
672	33711	16380
673	33763	16330
674	33813	16280
675	33859	16228
676	33905	16176
677	33952	16124
678	34003	16075
679	34060	16028
680	34110	15978
681	34166	15931
682	34223	15884
683	34276	15835
684	34322	15783
685	34369	15731
686	34416	15680
687	34466	15630
688	34528	15585
689	34579	15535
690	34636	15488
691	34690	15440
692	34742	15391
693	34787	15338
